date,article,msft
2015-10-23,http://www.ibtimes.com/press-release/20151023/corporate-responsibility-magazine-announces-2015s-top-10-best-corporate,msft,
2015-10-23,http://www.ibtimes.com/lumia-650-microsoft-budget-smartphone-looks-identical-nexus-5x-2153760,msft,
2015-10-23,http://www.ibtimes.com/global-markets-rally-ecb-signals-stimulus-silicon-valley-bluechips-lead-wall-street-2153677,msft,
2015-10-23,http://www.ibtimes.com/press-release/20151023/dynamic-health-benefit-plans-emergence-big-data-drive-global-healthcare-cloud,msft,
2015-10-23,http://www.ibtimes.com/press-release/20151023/safeguard-scientifics-announces-third-quarter-2015-financial-results-2153750,msft,
2015-10-23,http://www.ibtimes.com/twitters-ceo-jack-dorsey-give-one-third-his-stock-employees-2153515,msft,
2015-10-22,http://www.ibtimes.com/press-release/20151022/global-server-market-forecasts-2015-2020-2153454,msft,
2015-10-22,http://www.ibtimes.com/microsoft-corporation-msft-q1-2016-57-cent-eps-misses-wall-street-expectations-2152910,msft,
2015-10-22,http://www.ibtimes.com/press-release/20151022/crestwood-associates-host-erp-comparison-event-2153072,msft,
2015-10-22,http://www.ibtimes.com/theranos-presses-pause-real-healthcare-revolution-happening-artificial-intelligence-2152001,msft,
2015-10-22,http://www.ibtimes.com/yahoo-nfl-live-stream-attracts-swarm-advertisers-toyota-microsoft-snickers-among-game-2152296,msft,
2015-10-22,http://www.ibtimes.com/press-release/20151022/la-auto-shows-connected-car-expo-draws-new-auto-industry-pioneers-top,msft,
2015-10-22,http://www.ibtimes.com/zimbabwe-dictator-robert-mugabe-wins-chinas-nobel-peace-prize-president-has-been-2152103,msft,
2015-10-22,http://www.ibtimes.com/windows-10-update-threshold-2-rumor-roundup-no-edge-extensions-november-launch-2152010,msft,
2015-10-22,http://www.ibtimes.com/press-release/20151022/stealth-marketing-tech-startup-revjet-reveals-worlds-first-creative-side,msft,
2015-10-22,http://www.ibtimes.com/playstation-4-price-slashed-several-markets-across-world-2151569,msft,
2015-10-22,http://www.ibtimes.com/microsoft-surface-pro-3-now-available-significant-discount-ebay-ahead-surface-pro-4-2151541,msft,
2015-10-22,http://www.ibtimes.com/press-release/20151022/new-hands-free-technologies-pose-hidden-dangers-drivers-2151620,msft,
2015-10-21,http://www.ibtimes.com/american-express-profit-misses-estimates-costs-rise-dollar-hurts-2151319,msft,
2015-10-21,http://www.ibtimes.com/press-release/20151021/unita-streamlines-high-growth-interior-construction-business-netsuite,msft,
2015-10-21,http://www.ibtimes.com/ios-91-update-includes-new-taco-emojis-oh-bug-fixes-too-2151003,msft,
2015-10-21,http://www.ibtimes.com/unicorn-bubble-will-burst-warns-microsoft-ceo-satya-nadella-2150905,msft,
2015-10-21,http://www.ibtimes.com/meet-woman-named-bear-who-luring-twitter-developers-back-flock-2149953,msft,
2015-10-21,http://www.ibtimes.com/press-release/20151021/google-trims-3rd-quarter-lobbying-365-million-still-leads-16-tech-firms,msft,
2015-10-21,http://www.ibtimes.com/surface-book-review-roundup-what-do-critics-make-microsofts-2-1-windows-10-hybrid-2150495,msft,
2015-10-21,http://www.ibtimes.com/theo-epstein-curse-killer-how-chicago-cubs-execs-moneyball-approach-sparked-nlcs-run-2150342,msft,
2015-10-21,http://www.ibtimes.com/why-apple-tim-cook-are-leading-fight-against-cisa-government-surveillance-2149853,msft,
2015-10-21,http://www.ibtimes.com/press-release/20151021/ugandas-infinity-computers-awards-services-cloud-deal-ibm-2150309,msft,
2015-10-21,http://www.ibtimes.com/microsoft-windows-10-mobile-payments-could-use-iris-scanning-authenticate-purchases-2150148,msft,
